COSSN,DOB,DOD,SEX_CD,FNM,MNM,LNM,BRTHLOCLT_NM,BRTHST_CD,BRTHCNTRY_CD,BRTHLOCLT_CD,BRTH_ADDR_LOC_CD
000-000-0001,12/3/72,,F,Rica,,Blaisdell,,,US,62233,D
000-000-0002,5/25/55,,F,Ruthie,Fae,Brockherst,,,US,79529,D
000-000-0003,1/6/73,,F,Mariejeanne,,Cocci,,,US,32228,D
000-000-0004,7/27/60,,M,Hashim,,Rumke,,,US,1104,D
000-000-0005,10/9/72,,M,Hansiain,,Coda,,,US,20171,D
000-000-0006,9/20/68,,F,Robinet,,Leheude,,,US,13494,D
000-000-0007,12/18/56,,F,Fay,Mary,Huc,,,US,15477,D
000-000-0008,11/8/30,,F,Patti,,Rosten,,,US,2808,D
000-000-0009,5/27/01,,M,Even,,Tinham,,,US,18438,D
000-000-0010,2/2/28,,F,Brena,,Tollerton,,,US,20171,D
000-000-0011,10/1/10,,M,Alexandro,,Peeke-Vout,,,US,20553,D
000-000-0012,9/23/80,,F,Sheryl,Jean,Hackwell,,,US,23701,D
000-000-0013,7/9/28,,F,Laney,,Toopin,,,US,28722,D
000-000-0014,8/24/63,,F,Isabelita,,Talboy,,,US,32204,D
000-000-0015,5/23/08,,M,Rodrique,Paul,Silverton,,,US,33983,D
000-000-0016,1/2/94,,M,Clair,,Vardy,,,US,34746,D
000-000-0017,1/26/35,,F,Brianna,,Paradise,,,US,46256,D
000-000-0018,8/18/38,,M,Waldon,,Keddey,,,US,47272,D
000-000-0019,11/28/10,,M,Josiah,John,Brockett,,,US,84302,D
000-000-0020,2/20/39,,F,Anselma,,Rook,,,US,39532,D
